Font: Xiaolai  Style: Regular
Point Size: 33   SP/PD Ratio: 15.2%

Characters included: 42244/43124
Missing characters: 880
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 3452	Hex: D7C	Char [ർ]
ID: 3454	Hex: D7E	Char [ൾ]
ID: 3455	Hex: D7F	Char [ൿ]
ID: 3478	Hex: D96	Char [ඖ]
ID: 3484	Hex: D9C	Char [ග]
ID: 3495	Hex: DA7	Char [ට]
ID: 3506	Hex: DB2	Char [඲]
ID: 3528	Hex: DC8	Char [෈]
ID: 3553	Hex: DE1	Char [෡]
ID: 3588	Hex: E04	Char [ค]
ID: 3593	Hex: E09	Char [ฉ]
ID: 3594	Hex: E0A	Char [ช]
ID: 3597	Hex: E0D	Char [ญ]
ID: 3598	Hex: E0E	Char [ฎ]
ID: 3599	Hex: E0F	Char [ฏ]
ID: 3600	Hex: E10	Char [ฐ]
ID: 3601	Hex: E11	Char [ฑ]
ID: 3606	Hex: E16	Char [ถ]
ID: 3613	Hex: E1D	Char [ฝ]
ID: 3660	Hex: E4C	Char [์]
ID: 3684	Hex: E64	Char [๤]
ID: 3693	Hex: E6D	Char [๭]
ID: 3699	Hex: E73	Char [๳]
ID: 3701	Hex: E75	Char [๵]
ID: 3702	Hex: E76	Char [๶]
ID: 3703	Hex: E77	Char [๷]
ID: 3704	Hex: E78	Char [๸]
ID: 3705	Hex: E79	Char [๹]
ID: 3706	Hex: E7A	Char [๺]
ID: 3707	Hex: E7B	Char [๻]
ID: 3724	Hex: E8C	Char [ຌ]
ID: 3733	Hex: E95	Char [ຕ]
ID: 3734	Hex: E96	Char [ຖ]
ID: 3736	Hex: E98	Char [ຘ]
ID: 3741	Hex: E9D	Char [ຝ]
ID: 3746	Hex: EA2	Char [ຢ]
ID: 3754	Hex: EAA	Char [ສ]
ID: 3755	Hex: EAB	Char [ຫ]
ID: 3756	Hex: EAC	Char [ຬ]
ID: 3766	Hex: EB6	Char [ຶ]
ID: 3799	Hex: ED7	Char [໗]
ID: 3800	Hex: ED8	Char [໘]
ID: 3805	Hex: EDD	Char [ໝ]
ID: 3832	Hex: EF8	Char [໸]
ID: 3833	Hex: EF9	Char [໹]
ID: 3834	Hex: EFA	Char [໺]
ID: 3835	Hex: EFB	Char [໻]
ID: 3869	Hex: F1D	Char [༝]
ID: 3878	Hex: F26	Char [༦]
ID: 3885	Hex: F2D	Char [༭]
ID: 3886	Hex: F2E	Char [༮]
ID: 3888	Hex: F30	Char [༰]
ID: 3889	Hex: F31	Char [༱]
ID: 3899	Hex: F3B	Char [༻]
ID: 3916	Hex: F4C	Char [ཌ]
ID: 3935	Hex: F5F	Char [ཟ]
ID: 3940	Hex: F64	Char [ཤ]
ID: 3981	Hex: F8D	Char [ྍ]
ID: 3984	Hex: F90	Char [ྐ]
ID: 4013	Hex: FAD	Char [ྭ]
ID: 4020	Hex: FB4	Char [ྴ]
ID: 4021	Hex: FB5	Char [ྵ]
ID: 4022	Hex: FB6	Char [ྶ]
ID: 4028	Hex: FBC	Char [ྼ]
ID: 4063	Hex: FDF	Char [࿟]
ID: 4074	Hex: FEA	Char [࿪]
ID: 4075	Hex: FEB	Char [࿫]
ID: 4076	Hex: FEC	Char [࿬]
ID: 4077	Hex: FED	Char [࿭]
ID: 4116	Hex: 1014	Char [န]
ID: 4125	Hex: 101D	Char [ဝ]
ID: 4126	Hex: 101E	Char [သ]
ID: 4175	Hex: 104F	Char [၏]
ID: 4188	Hex: 105C	Char [ၜ]
ID: 4207	Hex: 106F	Char [ၯ]
ID: 4213	Hex: 1075	Char [ၵ]
ID: 4214	Hex: 1076	Char [ၶ]
ID: 4215	Hex: 1077	Char [ၷ]
ID: 4216	Hex: 1078	Char [ၸ]
ID: 4219	Hex: 107B	Char [ၻ]
ID: 4232	Hex: 1088	Char [ႈ]
ID: 4246	Hex: 1096	Char [႖]
ID: 4253	Hex: 109D	Char [ႝ]
ID: 4276	Hex: 10B4	Char [Ⴔ]
ID: 4287	Hex: 10BF	Char [Ⴟ]
ID: 4288	Hex: 10C0	Char [Ⴠ]
ID: 4289	Hex: 10C1	Char [Ⴡ]
ID: 4295	Hex: 10C7	Char [Ⴧ]
ID: 4296	Hex: 10C8	Char [჈]
ID: 4297	Hex: 10C9	Char [჉]
ID: 4303	Hex: 10CF	Char [჏]
ID: 4307	Hex: 10D3	Char [დ]
ID: 4324	Hex: 10E4	Char [ფ]
ID: 4340	Hex: 10F4	Char [ჴ]
ID: 4341	Hex: 10F5	Char [ჵ]
ID: 4342	Hex: 10F6	Char [ჶ]
ID: 4609	Hex: 1201	Char [ሁ]
ID: 4668	Hex: 123C	Char [ሼ]
ID: 4669	Hex: 123D	Char [ሽ]
ID: 4687	Hex: 124F	Char [቏]
ID: 4693	Hex: 1255	Char [ቕ]
ID: 4724	Hex: 1274	Char [ቴ]
ID: 4731	Hex: 127B	Char [ቻ]
ID: 4732	Hex: 127C	Char [ቼ]
ID: 4749	Hex: 128D	Char [ኍ]
ID: 4776	Hex: 12A8	Char [ከ]
ID: 4777	Hex: 12A9	Char [ኩ]
ID: 4784	Hex: 12B0	Char [ኰ]
ID: 4823	Hex: 12D7	Char [዗]
ID: 4835	Hex: 12E3	Char [ዣ]
ID: 4836	Hex: 12E4	Char [ዤ]
ID: 4861	Hex: 12FD	Char [ዽ]
ID: 4862	Hex: 12FE	Char [ዾ]
ID: 4866	Hex: 1302	Char [ጂ]
ID: 4867	Hex: 1303	Char [ጃ]
ID: 4868	Hex: 1304	Char [ጄ]
ID: 4869	Hex: 1305	Char [ጅ]
ID: 4891	Hex: 131B	Char [ጛ]
ID: 4918	Hex: 1336	Char [ጶ]
ID: 4922	Hex: 133A	Char [ጺ]
ID: 4932	Hex: 1344	Char [ፄ]
ID: 4981	Hex: 1375	Char [፵]
ID: 4982	Hex: 1376	Char [፶]
ID: 5006	Hex: 138E	Char [ᎎ]
ID: 5016	Hex: 1398	Char [᎘]
ID: 5018	Hex: 139A	Char [᎚]
ID: 5020	Hex: 139C	Char [᎜]
ID: 5060	Hex: 13C4	Char [Ꮔ]
ID: 5061	Hex: 13C5	Char [Ꮕ]
